"","animal","class","max_speed_mph","max_speed_ym"
"1","Peregrine falcon","Bird",242,7098.66666666667
"2","Golden eagle","Bird",175,5133.33333333333
"3","White-throated needletail swift","Bird",105,3080
"4","Eurasian hobby","Bird",100,2933.33333333333
"5","Frigatebird","Bird",95,2786.66666666667
"6","Rock dove (pigeon)","Bird",92,2698.66666666667
"7","Spur-winged goose","Bird",88,2581.33333333333
"8","Red-breasted merganser","Bird",81,2376
"9","Black marlin","Fish",80,2346.66666666667
"10","Gyrfalcon","Bird",80,2346.66666666667
"11","Grey-headed albatross","Bird",79,2317.33333333333
"12","Cheetah","Mammal",71.5,2097.33333333333
"13","Sailfish","Fish",67.85,1990.26666666667
"14","Anna's hummingbird","Bird",61.06,1791.09333333333
"15","Swordfish","Fish",60,1760
"16","Ostrich","Bird",60,1760
"17","Mexican free-tailed bat.(in flight)","Mammal",60,1760
"18","Pronghorn","Mammal",55,1613.33333333333
"19","Springbok","Mammal",55,1613.33333333333
"20","Blue wildebeest","Mammal",50,1466.66666666667
"21","Lion","Mammal",50,1466.66666666667
"22","Blackbuck","Mammal",50,1466.66666666667
